text;class
Невнимательность к покупателю. Товар выносят после оплаты не распечатывая и не проверяя ( даже не предлагают проверить целостность и комплектацию товара.);Товар
Посудомоечная машина не исправна. Остальной товар ещё не проверяла;Товар
Приехал в магазин, оказался только Витринный образец;Товар
Несколько раз переносили дату доставки.;Доставка
На сайте было написано бесплатная доставка,а по факту оказалось, что надо заплатить за неё.;Доставка
"На пункте выдачи нет сотрудника._x000D_
";Магазин
Продавцы не должны запугивать клиента, чтобы он приобрёл доп.услуги!;Магазин
Ассортимент печальный. ;Товар
Заказ не доставлен. По телефону сотрудница магазина сообщила, что заказ отменен. ;Доставка
оператор не располагал данной информацией,в магазин дозвониться он не смог.;Магазин
Изменить службу доставки;Доставка
Вынесли пыльный короб путешествующий от склада к складу .;Товар
вообще не удовлетворена! консультант не проверил товар при выдаче, объяснив что у меня есть две недели на то что-бы всё проверить дома;Товар
Товар заявлен, как последний экземпляр в магазине, но не заявлен, как витринный образец, скидка на него не предусмотрена. Ц;Товар
Товар однозначно не качественный ! Ничего не работает ! Хотя с прошлым работало все !;Товар
"Добрый день! Товар получили, но не понравилось отношение продавца, начала нагло хамить хотя ни какого повода не давали,также не могла точно определить какой товар в чеке и что надо выдать. _x000D_
";Магазин
Два раза без предупреждений и оповещений доставку отменяли... ;Доставка
Привезли не тот цвет и пока не кто не связывался;Доставка
как было указано, товар витринный, но вы ведь видели, что дверца смещена и не открывается при нажатии кнопки. Также могли проверить исправность;Товар
"Курьер проверять комплектацию отказался. _x000D_
";Доставка
"Большая очередь несмотря на надпись в талоне ""перед вами 0 человек""";Магазин
Всё впечатление испортил курьер по неправильному указанию адреса;Доставка
Безобразное отношение персонала к клиентам! Старший кассир Иван, выказываю личную неприязнь хамит, издевается и откровенно не выдает товар саботируя процесс онлайн покупок, тем самым дискредитирует некогда самый посещаемый мной маркет по адресу Алтуфьевское шоссе д. 8 и в целом компанию М-Видео! ;Магазин
Не туда доставили;Доставка
Ужасное отношение персонала! Хамство, безразличие, враньё. Старший кассир даде пытался угрожать. Впечатление что нет желания продать товар, просто отсиживают время на работе.;Магазин
Товар не исправлен;Товар
Коробка пришла помятая и вся пыльная, а товар покупался в качестве подарка. ;Товар
Хотелось бы кассиры были повежливее...Просто хамство ваших кассиров уже не в какие ворота не лезут...;Магазин
Не навязывайте дополнительные услуги, на которые стоит план у менеджеров магазина, очевидно и бестактно, эх(;Магазин
Купил подарки на новый год(Ноутбуки, Мониторы, мыши). Заказ осуществили частично, причем не в первый раз.;Доставка
"Коробка в безобразном состоянии._x000D_
Мятая, рваная, пыльная. ";Товар
Выдали не тот товар;Доставка
Не предупредили заранее, что это витринный образец;Товар
Простоял 20 минут в очереди с ребенком в коляске. Взял заранее электронный талон, стоял ждал когда пригласят. В итоге оказалась живая очередь;Магазин
Ужасный сервис в зоне выдачи. Сотрудники сидят в личных телефонах и не обращают внимание на клиентов;Магазин
В подъезде разбросали мусор От техники.;Доставка
Привезли некомплектный товар- только направляющие;Товар
